film_id,title,wikidata_uri,entity_text,entity_label,sentence,start_char,end_char
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Raat Ni Gajab Vaat,PERSON,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",5,23
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,2024,DATE,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",29,33
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Prem Gadhavi & Killol Parmar,ORG,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",69,97
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Prem Gadhavi,PERSON,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",113,125
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Aditi Varma & Nikita Shah,ORG,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",127,152
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Bhavya Gandhi,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",163,176
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Patel,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",184,189
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Deep Vaidya,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",191,202
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Radhika Barot & RJ Harsh,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",204,228
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Jayesh Pavra,PERSON,The film is produced by Dr. Jayesh Pavra,258,270
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Rupam Entertainment Pvt Ltd,ORG,The film will be distributed by Rupam Entertainment Pvt Ltd,303,330
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Alanaati Ramchandrudu,PERSON,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,0,21
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,2024,DATE,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,27,31
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Chilukuri Akash Reddy,ORG,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,84,105
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Hymavathi Jadapolu,ORG,"It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.",125,143
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Hyniva Creations LLP,ORG,"It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.",182,202
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Krishna Vamsi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",222,235
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Mokksha,GPE,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",237,244
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Brahmaji,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",246,254
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Sivannarayana Naripeddi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",263,286
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Vasu Inturi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",288,299
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,2025,DATE,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",14,18
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Indian Tamil-language,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",19,40
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Vipin Radhakrishnan,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",64,83
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Geetha Kailasam,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",97,112
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Saran Shakthi,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",143,156
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Bharani,GPE,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",183,190
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Anora,PERSON,"Anora is a 2024 American romantic comedy-drama film written, directed, produced, and edited by Sean Baker.",0,5
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,2024,DATE,"Anora is a 2024 American romantic comedy-drama film written, directed, produced, and edited by Sean Baker.",11,15
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Sean Baker,PERSON,"Anora is a 2024 American romantic comedy-drama film written, directed, produced, and edited by Sean Baker.",95,105
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Mikey Madison,PERSON,"It stars Mikey Madison as Anora ""Ani"" Mikheeva, a lap dancer from New York who marries the wealthy son of a Russian oligarch played by Mark Eydelshteyn.",116,129
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,"Anora ""Ani"" Mikheeva",PERSON,"It stars Mikey Madison as Anora ""Ani"" Mikheeva, a lap dancer from New York who marries the wealthy son of a Russian oligarch played by Mark Eydelshteyn.",133,153
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,New York,GPE,"It stars Mikey Madison as Anora ""Ani"" Mikheeva, a lap dancer from New York who marries the wealthy son of a Russian oligarch played by Mark Eydelshteyn.",173,181
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Mark Eydelshteyn,PERSON,"It stars Mikey Madison as Anora ""Ani"" Mikheeva, a lap dancer from New York who marries the wealthy son of a Russian oligarch played by Mark Eydelshteyn.",242,258
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Yura Borisov,PERSON,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",289,301
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Karren Karagulian,PERSON,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",303,320
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Vache Tovmasyan,ORG,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",322,337
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Darya Ekamasova,PERSON,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",339,354
Q123185887,Anora,http://www.wikidata.org/entity/Q123185887,Aleksei Serebryakov,PERSON,"The supporting cast includes Yura Borisov, Karren Karagulian, Vache Tovmasyan, Darya Ekamasova, and Aleksei Serebryakov.",360,379
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Anweshippin Kandethum,PERSON,Anweshippin Kandethum is a 2024 Indian Malayalam-language police procedural drama film directed by Darwin Kuriakose and written by Jinu V. Abraham.,0,21
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Darwin Kuriakose,PERSON,Anweshippin Kandethum is a 2024 Indian Malayalam-language police procedural drama film directed by Darwin Kuriakose and written by Jinu V. Abraham.,99,115
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Jinu V. Abraham,PERSON,Anweshippin Kandethum is a 2024 Indian Malayalam-language police procedural drama film directed by Darwin Kuriakose and written by Jinu V. Abraham.,131,146
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Darwin,PERSON,The film is produced by Darwin and Dolwin Kuriakose.,172,178
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Dolwin Kuriakose,PERSON,The film is produced by Darwin and Dolwin Kuriakose.,183,199
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Tovino Thomas,PERSON,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",219,232
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Siddique,ORG,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",270,278
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Shammi Thilakan,PERSON,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",280,295
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Sadiq,GPE,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",297,302
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Azees Nedumangad,PERSON,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",304,320
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Baburaj,PERSON,"The film features Tovino Thomas in the lead role, alongside Indrans, Siddique, Shammi Thilakan, Sadiq, Azees Nedumangad, and Baburaj in the supporting roles.",326,333
Q124532587,Anweshippin Kandethum,http://www.wikidata.org/entity/Q124532587,Santhosh Narayanan,PERSON,"The soundtrack was composed by Santhosh Narayanan, in his Malayalam cinema debut.",390,408
Q133895441,Any Day Now (2024 film),http://www.wikidata.org/entity/Q133895441,2024,DATE,Any Day Now is a 2024 American crime comedy film directed by Eric Aronson.,17,21
Q133895441,Any Day Now (2024 film),http://www.wikidata.org/entity/Q133895441,Eric Aronson,PERSON,Any Day Now is a 2024 American crime comedy film directed by Eric Aronson.,61,73
