film_id,title,wikidata_uri,entity_text,entity_label,sentence,start_char,end_char,record_type,subject,predicate,object,extraction_method
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Raat Ni Gajab Vaat,PERSON,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",5.0,23.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,2024,DATE,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",29.0,33.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Prem Gadhavi & Killol Parmar,ORG,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",69.0,97.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Prem Gadhavi,PERSON,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",113.0,125.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Aditi Varma & Nikita Shah,ORG,"Ajab Raat Ni Gajab Vaat is a 2024 Gujarati comedy drama, directed by Prem Gadhavi & Killol Parmar and written by Prem Gadhavi, Aditi Varma & Nikita Shah.",127.0,152.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Bhavya Gandhi,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",163.0,176.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Patel,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",184.0,189.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Deep Vaidya,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",191.0,202.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Radhika Barot & RJ Harsh,PERSON,"It stars Bhavya Gandhi Aarohi Patel, Deep Vaidya, Radhika Barot & RJ Harsh.",204.0,228.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Jayesh Pavra,PERSON,The film is produced by Dr. Jayesh Pavra,258.0,270.0,entity,,,,
Q130295240,Ajab Raat Ni Gajab Vaat,http://www.wikidata.org/entity/Q130295240,Rupam Entertainment Pvt Ltd,ORG,The film will be distributed by Rupam Entertainment Pvt Ltd,303.0,330.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Alanaati Ramchandrudu,PERSON,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,0.0,21.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,2024,DATE,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,27.0,31.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Chilukuri Akash Reddy,ORG,Alanaati Ramchandrudu is a 2024 Indian Telugu-language film written and directed by Chilukuri Akash Reddy.,84.0,105.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Hymavathi Jadapolu,ORG,"It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.",125.0,143.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Hyniva Creations LLP,ORG,"It is produced by Hymavathi Jadapolu, Sreeram Jadapolu under the banner of Hyniva Creations LLP.",182.0,202.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Krishna Vamsi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",222.0,235.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Mokksha,GPE,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",237.0,244.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Brahmaji,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",246.0,254.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Sivannarayana Naripeddi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",263.0,286.0,entity,,,,
Q130245494,Alanaati Ramchandrudu,http://www.wikidata.org/entity/Q130245494,Vasu Inturi,PERSON,"the film features Krishna Vamsi, Mokksha, Brahmaji, Sudha, Sivannarayana Naripeddi, Vasu Inturi in important roles alongside other ensemble cast.",288.0,299.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,2025,DATE,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",14.0,18.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Indian Tamil-language,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",19.0,40.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Vipin Radhakrishnan,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",64.0,83.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Geetha Kailasam,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",97.0,112.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Saran Shakthi,PERSON,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",143.0,156.0,entity,,,,
Q135901978,Angammal,http://www.wikidata.org/entity/Q135901978,Bharani,GPE,"Angammal is a 2025 Indian Tamil-language drama film directed by Vipin Radhakrishnan and starring Geetha Kailasam in the titular role alongside Saran Shakthi, Thendral Raghunathan and Bharani.",183.0,190.0,entity,,,,
